scene,method,mult,converged_pre_psnr,converged_post_psnr,converged_pre_ssim,converged_post_ssim,mean_ms,mean_rays,recover_frames,flicker_late
bunker,DDGI,0.5,28.874406666666676,27.48728666666667,0.6805599999999999,0.7200846666666666,98.15052666666665,53517.073333333334,9,0.0014909199999999997
bunker,DDGI,1.0,28.94433333333333,27.02958666666667,0.6698546666666666,0.7124206666666667,183.98596,107035.36666666667,1,0.00274916
bunker,FCGI,0.5,30.58871333333333,31.218106666666667,0.674488,0.7269206666666665,70.50998,52982.573333333334,42,0.0010585599999999998
bunker,FCGI,1.0,31.107766666666667,31.44514,0.676826,0.7268426666666666,118.64850666666665,105996.47333333333,20,0.0019911200000000003
bunker,FCGI,2.0,31.034533333333332,31.263686666666665,0.675768,0.7250586666666669,214.38807333333335,211989.05333333334,10,0.0030219999999999995
bunker,FCGI2,1.0,31.18650666666667,30.855220000000006,0.6858539999999999,0.7314286666666666,124.9825,106049.99333333333,24,0.00237864
bunker,GFC,1.0,26.77432666666667,28.427986666666666,0.6720700000000001,0.7221666666666667,132.34326666666666,96320.74,20,0.0030184400000000007
bunker,GFCAO,1.0,28.368879999999997,26.252133333333337,0.6582559999999998,0.708946,116.27223333333333,96214.88,40,0.0030960199999999997
bunker,PT,0.5,26.52125333333333,26.967100000000002,0.5192859999999999,0.5953053333333334,75.84106,69365.73333333334,18,0.005460499999999999
bunker,PT,1.0,26.50268,27.506286666666664,0.5180226666666666,0.6081380000000001,181.23082,208158.71333333335,8,0.01048968
bunker,SFG,1.0,30.245873333333336,30.697106666666663,0.655858,0.7082766666666667,83.47393333333333,79833.80666666667,41,0.00172348
cavern,DDGI,1.0,26.951106666666664,28.040393333333334,0.8070780000000001,0.8052686666666666,65.28568,50020.386666666665,3,0.00389584
cavern,FCGI,1.0,32.507126666666665,32.397706666666664,0.8562273333333333,0.8392106666666667,99.11848666666667,135724.44,3,0.00344428
cavern,GFC,1.0,28.714533333333335,28.514106666666667,0.8362753333333333,0.8264646666666666,112.61536666666667,103710.70666666667,1,0.0029958200000000006
cavern,GFCAO,1.0,30.447633333333336,29.55720666666667,0.854398,0.8379493333333333,91.70697333333334,103526.62666666666,14,0.00440256
cavern,PT,1.0,31.120033333333335,30.749146666666665,0.8274426666666668,0.8117873333333334,174.08404,236888.48,1,0.005207880000000001
cavern,SFG,1.0,31.403160000000003,31.54776,0.8315453333333334,0.819894,82.08642666666667,93288.36,10,0.00298718
courtyard,DDGI,1.0,32.662866666666666,34.77680666666666,0.9289193333333334,0.9718386666666666,69.48086,83775.51333333334,26,0.00014553999999999997
courtyard,FCGI,1.0,39.77031999999999,42.68848666666666,0.9456060000000001,0.9826833333333334,68.19083333333333,89070.77333333333,12,0.0017281400000000002
courtyard,FCGI2,1.0,39.43237333333333,42.95369333333333,0.9499166666666666,0.984872,60.67192666666667,89029.7,17,0.0024104400000000002
courtyard,GFC,1.0,32.95187333333334,32.95814,0.9434600000000001,0.9781566666666667,96.91561333333334,94830.78666666667,49,0.0012197
courtyard,GFCAO,1.0,31.43571333333333,35.85886000000001,0.9307113333333336,0.976308,74.03214666666666,94818.24666666667,39,0.00227418
courtyard,PT,1.0,37.278760000000005,40.26255333333333,0.9146653333333333,0.9736833333333335,47.388693333333336,80951.22666666667,20,0.0022374800000000005
courtyard,SFG,1.0,36.6199,34.73826666666666,0.9086286666666666,0.9487006666666667,63.35545333333333,71149.89333333333,47,0.0018381
town,DDGI,0.5,29.59256666666666,32.07631333333333,0.9793699999999996,0.9823039999999998,69.22560666666666,46455.12666666666,36,0.00019256000000000007
town,DDGI,1.0,32.15562666666666,34.037659999999995,0.9839659999999999,0.9839186666666666,90.65158666666667,92276.35333333333,26,0.00012392
town,DDGI,2.0,34.134366666666665,33.70187333333333,0.9849920000000002,0.9836659999999999,148.7898133333333,185250.89333333334,7,7.818e-05
town,FCGI,0.5,42.23243333333333,41.68809333333333,0.9926226666666665,0.9917726666666666,54.37928666666666,44833.846666666665,11,0.00048300000000000003
town,FCGI,1.0,42.15406,41.90659333333334,0.9927333333333335,0.9918033333333333,101.11429333333334,89685.43333333333,5,0.0009196599999999999
town,FCGI,2.0,42.13912,41.85161333333334,0.9924353333333333,0.9918313333333334,186.1488533333333,179357.87333333332,4,0.0012905
town,GFC,1.0,37.98394666666666,37.68718666666667,0.9886426666666667,0.9880033333333335,116.37482666666665,95309.65333333334,1,0.0007520599999999998
town,GFCAO,1.0,29.880813333333336,30.355900000000002,0.9723933333333333,0.9760920000000001,102.68182666666668,95354.04,2,0.00096786
town,PT,0.5,41.41190666666667,40.939260000000004,0.9916933333333334,0.9907526666666667,21.43658,17596.88,15,0.0008509599999999999
town,PT,1.0,41.30931333333334,40.89561333333333,0.9915033333333334,0.9904786666666665,52.51846666666666,52804.28,5,0.0015714200000000002
town,PT,2.0,42.06357333333333,41.54933333333333,0.9926406666666667,0.9916813333333334,66.53316,84505.88,5,0.00132542
town,SFG,1.0,37.33986000000001,36.84987333333333,0.9818506666666665,0.9793933333333334,66.02098000000001,68063.92,3,0.00089864
